出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150617","11505","1101","台泥","水泥工業","12612013","12213195","12619495","3.265468208769286","-0.059289218784111405","58084626","60273039","-3.63083235275394","-"
"1150617","11505","1102","亞泥","水泥工業","6296531","5694459","6370169","10.57294468183896","-1.155981889962417","26820476","29241145","-8.278297583764248","-"
"1150617","11505","1103","嘉泥","水泥工業","230485","207622","249182","11.011838822475461","-7.503350964355371","1126476","1273231","-11.526188099410083","-"
"1150617","11505","1104","環泥","水泥工業","655816","635959","643106","3.1223710962499154","1.9763460455974597","3050822","3270428","-6.714900924282693","-"
"1150617","11505","1108","幸福","水泥工業","335095","322871","388571","3.7860321924235993","-13.762221061273229","1638672","2011969","-18.553814695952074","-"
"1150617","11505","1109","信大","水泥工業","348178","340192","407283","2.347497883548114","-14.512022353007614","1543711","1831205","-15.699716853110383","-"
"1150617","11505","1110","東泥","水泥工業","233647","237552","261492","-1.643850609550751","-10.648509323420985","1053842","1266588","-16.796780010548023","-"
"1150617","11505","1201","味全","食品工業","1825310","1793562","1923030","1.7701088671593177","-5.08156399016136","8619939","8995394","-4.173858310152951","-"
"1150617","11505","1203","味王","食品工業","432673","437702","481004","-1.1489552252445727","-10.047941389260796","2183227","2512007","-13.088339323895196","-"
"1150617","11505","1210","大成","食品工業","9065705","9098458","8229515","-0.3599840764226202","10.160866102072843","44729141","42493838","5.260299152079415","-"
"1150617","11505","1213","大飲","食品工業","22834","25400","19978","-10.10236220472441","14.29572529782761","125317","111276","12.618174628850785","-"
"1150617","11505","1215","卜蜂","食品工業","2488775","2316768","2448264","7.424437837539193","1.6546826649413626","11981862","11531707","3.9036284914280253","-"
"1150617","11505","1216","統一","食品工業","59180335","57480106","57625519","2.957943396972859","2.698137955165315","291676878","283100268","3.029530865721399","-"
"1150617","11505","1217","愛之味","食品工業","376355","396666","440729","-5.120428773829872","-14.60625463720336","1939235","2003192","-3.1927543640350002","-"
"1150617","11505","1218","泰山","食品工業","821022","844393","832885","-2.767787037552419","-1.424326287542698","4318537","4126068","4.664707416358625","-"
"1150617","11505","1219","福壽","食品工業","1115075","1221789","1197196","-8.734241346091673","-6.859444902923164","5972242","6039917","-1.1204624169504316","-"
"1150617","11505","1220","台榮","食品工業","239785","299352","274366","-19.89864774579759","-12.603966963836626","1234633","1299136","-4.9650690920735014","-"
"1150617","11505","1225","福懋油","食品工業","1031005","1110177","1008123","-7.131475431395174","2.2697627174461847","5422365","5247458","3.333175796738154","-"
"1150617","11505","1227","佳格","食品工業","2282197","1931499","2164443","18.156778750597333","5.440383507442792","11984199","11074580","8.213575593837419","-"
"1150617","11505","1229","聯華","食品工業","786408","604369","862668","30.12050584990296","-8.840017248814144","4006990","4391541","-8.756630075866308","-"
"1150617","11505","1231","聯華食","食品工業","986344","1007987","1018378","-2.1471507073007885","-3.1455903407182793","5342869","5142275","3.900880446883918","-"
"1150617","11505","1232","大統益","食品工業","1831688","1890202","1666647","-3.0956479783642172","9.902576850406835","9615949","8896864","8.082454671668579","-"
"1150617","11505","1233","天仁","食品工業","188910","173250","196357","9.03896103896104","-3.792581878924612","935964","916366","2.138665118522512","-"
"1150617","11505","1234","黑松","食品工業","694368","685646","898472","1.2720850117990916","-22.716790283948747","3708346","3927781","-5.586742234355734","-"
"1150617","11505","1235","興泰","食品工業","7962","14862","12837","-46.42712959224869","-37.97616265482589","81794","55684","46.88959126499533","泰宇網通累計1-5月營收較去年同期增加27,427仟元"
"1150617","11505","1236","宏亞","食品工業","107321","122248","112127","-12.21042471042471","-4.286211171261159","775056","753403","2.874026251554613","-"
"1150617","11505","1256","鮮活果汁-KY","食品工業","475678","455560","384691","4.416103257529195","23.65197002269354","2072196","1411831","46.77365775365465","-"
"1150617","11505","1301","台塑","塑膠工業","14951422","18326272","14852023","-18.41536565647394","0.6692623624404568","75262816","78227184","-3.789434629271584","-"
"1150617","11505","1303","南亞","塑膠工業","28830982","27681309","21949304","4.153246510127104","31.352602342197276","125108684","110677728","13.038717238575769","-"
"1150617","11505","1304","台聚","塑膠工業","3720859","4412977","3774657","-15.68369832881522","-1.4252420815984075","18881444","19812980","-4.701645083172749","-"
"1150617","11505","1305","華夏","塑膠工業","973037","1192324","806203","-18.391561354128577","20.693795483271582","4839073","4100099","18.023320900300213","-"
"1150617","11505","1307","三芳","塑膠工業","876393","981256","802937","-10.68660981436037","9.148413885522775","4810459","4637990","3.7186151759706254","-"
"1150617","11505","1308","亞聚","塑膠工業","521633","512062","472396","1.8691096000093739","10.422823224582766","2335561","2447288","-4.565339265341881","-"
"1150617","11505","1309","台達化","塑膠工業","974076","1262513","1227097","-22.84625980088918","-20.619478329748993","5572495","6835842","-18.481220016495406","-"
"1150617","11505","1310","台苯","塑膠工業","516855","891393","841983","-42.017157415416094","-38.614556350900195","3592895","3982316","-9.778756884184983","-"
"1150617","11505","1312","國喬","塑膠工業","1593246","2489487","1505648","-36.001031537822854","5.817960107541736","11588232","9836234","17.811674671424043","-"
"1150617","11505","1313","聯成","塑膠工業","5371028","5878672","5129412","-8.635351657653294","4.710403453651217","25749422","24798757","3.8335187525729615","-"
"1150617","11505","1314","中石化","塑膠工業","1290220","1556459","1693833","-17.105429696509834","-23.82838213684584","6939022","9933647","-30.146279609090197","-"
"1150617","11505","1315","達新","塑膠工業","233648","131514","225890","77.66017306142312","3.4344149807428392","762838","920301","-17.109945550423177","-"
"1150617","11505","1316","上曜","建材營造","720420","683935","284794","5.334571267737431","152.96178992534956","3291684","1377586","138.94580810199872","主因子公司營收上升，致本年度營收較去年同期增加。"
"1150617","11505","1319","東陽","汽車工業","1847625","2009033","1801870","-8.034113924460176","2.5393063872532426","9487402","11431678","-17.00779185697848","-"
"1150617","11505","1321","大洋","塑膠工業","361973","352112","319215","2.800529377016404","13.394733956737621","1610610","1633740","-1.4157699511550186","-"
"1150617","11505","1323","永裕","塑膠工業","181398","186584","173860","-2.779445182866698","4.335672380075923","899575","878457","2.403987901513677","-"
"1150617","11505","1324","地球","塑膠工業","55577","51218","53387","8.51067983911906","4.102122239496507","276588","305741","-9.535194821760902","-"
"1150617","11505","1325","恆大","塑膠工業","20068","24465","29167","-17.972613938279174","-31.196214900401138","101772","139649","-27.123001238820184","-"
"1150617","11505","1326","台化","塑膠工業","27386895","32101065","23721263","-14.685400624558717","15.45293772932748","141237771","127664254","10.63219857925148","-"
"1150617","11505","1337","再生-KY","塑膠工業","45413","42068","50243","7.951411999619664","-9.613279461815576","239825","294034","-18.436303284654155","-"
"1150617","11505","1338","廣華-KY","汽車工業","426707","458159","401631","-6.86486569073182","6.2435419576676106","2053108","2083077","-1.438689016296565","-"
"1150617","11505","1339","昭輝","汽車工業","146731","141125","127978","3.9723649247121346","14.653299785900701","682016","779634","-12.52100344520634","-"
"1150617","11505","1340","勝悅-KY","塑膠工業","6790","5277","23241","28.671593708546524","-70.784389656211","23502","112401","-79.09093335468546","由於受市場低迷影響，EVO膠粒銷售持續虧損，故公司調整營運，並暫停該車間生產營運，致營收下滑。"
"1150617","11505","1341","富林-KY","塑膠工業","198457","265857","173265","-25.351974933893032","14.539578102905953","1145225","1088500","5.211299954065227","-"
"1150617","11505","1342","八貫","其他","337474","349263","245972","-3.3753933282368873","37.20016912494105","1604022","1266532","26.646780341910034","-"
"1150617","11505","1402","遠東新","紡織纖維","23426660","22888480","19614093","2.351313848713414","19.43789600671313","107591959","103435427","4.018480051327095","-"
"1150617","11505","1409","新纖","紡織纖維","4373931","4079327","3236780","7.2218775302886975","35.13216838957235","18501156","17041036","8.568258408702382","-"
"1150617","11505","1410","南染","紡織纖維","20575","23107","15010","-10.957718440299477","37.075283144570285","93972","86264","8.935361216730039","-"
"1150617","11505","1413","宏洲","紡織纖維","178752","224009","213967","-20.20320612118263","-16.458145414947165","840673","1039236","-19.106632179793618","-"
"1150617","11505","1414","東和","紡織纖維","45981","46218","41378","-0.5127872257561988","11.124268935182947","205651","222153","-7.428213888626307","-"
"1150617","11505","1416","廣豐","其他","40522","33560","25150","20.744934445768774","61.12127236580517","180372","133869","34.7376913251014","數位科技營收增加"
"1150617","11505","1417","嘉裕","紡織纖維","21313","22012","23747","-3.1755406142104308","-10.249715753568871","117134","100509","16.540807290889372","-"
"1150617","11505","1418","東華","紡織纖維","1051","554","343","89.71119133574007","206.4139941690962","2253","3531","-36.19371282922685","配合客戶生產線出貨"
"1150617","11505","1419","新紡","紡織纖維","383133","402039","375079","-4.702528859140531","2.147280972808395","2238219","1726547","29.63556740708478","-"
"1150617","11505","1423","利華","紡織纖維","6117","4165","5188","46.86674669867947","17.906707787201235","41515","39885","4.086749404538047","-"
"1150617","11505","1432","大魯閣","運動休閒","65979","66522","107576","-0.8162713087399657","-38.66754666468357","330586","553248","-40.24632714442709","-"
"1150617","11505","1434","福懋","紡織纖維","2497994","2584621","2364954","-3.3516325991315554","5.625479396216586","12061936","12776799","-5.595008577657048","-"
"1150617","11505","1435","中福","其他","498","499","498","-0.20040080160320642","0.0","2492","2492","0.0","-"
"1150617","11505","1436","華友聯","建材營造","110845","53737","76645","106.27314513277629","44.62130602126688","237207","459797","-48.41049419635187","-"
"1150617","11505","1437","勤益控","其他","61704","57062","62083","8.13501104062248","-0.6104730763655107","292553","321209","-8.92129423521757","-"
"1150617","11505","1438","三地開發","建材營造","1117","11986","0","-90.68079425996997","","390580","241","161966.39004149378","因本年已有建案完工交屋，故營收變化大。"
"1150617","11505","1439","雋揚","建材營造","11667","5530","18903","110.97649186256781","-38.27963815267418","93109","159877","-41.76210461792503","-"
"1150617","11505","1440","南紡","紡織纖維","1117882","1026701","1291362","8.880969240314366","-13.433878339303774","5517240","6710240","-17.77879777772479","-"
"1150617","11505","1441","大東","紡織纖維","94130","131682","95348","-28.517185340441365","-1.277425850568444","514946","627742","-17.96852847188813","-"
"1150617","11505","1442","名軒","建材營造","199199","74336","244960","167.97110417563496","-18.6810091443501","575611","1935099","-70.25418337769798","本年累計認收48戶，去年累計認收167戶，故兩期差異大。"
"1150617","11505","1443","立益物流","其他","79128","80482","80964","-1.6823637583559057","-2.267674522009782","386360","418567","-7.694586529755093","-"
"1150617","11505","1444","力麗","紡織纖維","1072308","623269","592355","72.045777986712","81.0245545323328","3838241","3095255","24.004031977979196","因貿易業務交易模式改變，提升銷售規模，本月得標交貨量多，致收入增加。"
"1150617","11505","1445","大宇","紡織纖維","56545","24372","64409","132.00804201542755","-12.209473831296869","251971","332805","-24.288697585673294","-"
"1150617","11505","1446","宏和","紡織纖維","77509","62952","78961","23.123967467276657","-1.8388824862907005","321155","757404","-57.597926601919184","本期營建銷售戶數減少"
"1150617","11505","1447","力鵬","紡織纖維","1615677","3258891","2967993","-50.422490350244914","-45.56331500781842","12946166","12455777","3.9370406197863046","-"
"1150617","11505","1449","佳和","紡織纖維","283816","377317","142824","-24.78048961483315","98.71730241416009","1453524","1006944","44.35003336829059","營收回穩及合併子公司營收"
"1150617","11505","1451","年興","紡織纖維","525245","513372","648324","2.3127478709395914","-18.984180749131607","2566621","2534253","1.2772205458571027","-"
"1150617","11505","1452","宏益","紡織纖維","121121","147537","105355","-17.904661203630276","14.964643348678278","596995","587122","1.681592582120922","-"
"1150617","11505","1453","大將","建材營造","125","126","124","-0.7936507936507936","0.8064516129032258","628","620","1.2903225806451613","-"
"1150617","11505","1454","台富","紡織纖維","126202","124279","117036","1.547324970429437","7.83177825626303","544661","678728","-19.75268443323393","-"
"1150617","11505","1455","集盛","紡織纖維","543385","595322","571203","-8.72418623870779","-4.870072461104021","2404446","3045152","-21.040197665009824","-"
"1150617","11505","1456","怡華","建材營造","28675","64095","92630","-55.2617208830642","-69.04350642340495","311717","308274","1.1168635694220077","本月認列建設收入較去年本月減少所致"
"1150617","11505","1457","宜進","紡織纖維","249333","295484","273077","-15.618781389178432","-8.69498346620184","1192101","1425171","-16.353827014442476","-"
"1150617","11505","1459","聯發","紡織纖維","82210","94353","85172","-12.869755068731253","-3.47766871741887","408738","538329","-24.07282535401214","-"
"1150617","11505","1460","宏遠","紡織纖維","465096","426200","502049","9.126231816048803","-7.36043692946306","2589169","3262946","-20.649345713965232","-"
"1150617","11505","1463","強盛新","紡織纖維","15813","20903","15686","-24.35057168827441","0.809639168685452","99530","685467","-85.47997204825323","去年第一季子公司保強建設房屋售出入帳"
"1150617","11505","1464","得力","紡織纖維","990946","1129614","947624","-12.275697716211024","4.571644449697349","5106856","5470713","-6.650997776706619","-"
"1150617","11505","1465","偉全","紡織纖維","27068","36322","22806","-25.47767193436485","18.688064544418136","161871","147951","9.408520388507005","-"
"1150617","11505","1466","聚隆","紡織纖維","192089","187406","183650","2.498852758182769","4.595153825210999","927329","1097512","-15.506254145740547","-"
"1150617","11505","1467","南緯","紡織纖維","371278","413806","419780","-10.277279691449616","-11.554147410548383","1967717","1987564","-0.9985590401114127","-"
"1150617","11505","1468","昶和","紡織纖維","44428","42431","71055","4.706464613136622","-37.473787910773346","214484","396185","-45.86266516904981","-"
"1150617","11505","1470","大統新創","紡織纖維","55312","50899","67788","8.670111397080493","-18.40443736354517","297516","345771","-13.955768413198332","-"
"1150617","11505","1471","首利","電子零組件業","6792","8003","20039","-15.13182556541297","-66.10609311841908","36809","83959","-56.158363010517036","本月營收及本年累計營收皆較去年同期減少，主係因為客戶需求減少所致。"
"1150617","11505","1472","三洋實業","建材營造","354164","307212","262247","15.283257164433682","35.049781313036945","1575700","1507777","4.504843886065379","本公司以專案收入為主要營收，因各財務報表期間所認列專案別不同，使得營業收入同期比較不具相同基礎，此為本公司營業特性。"
"1150617","11505","1473","台南","紡織纖維","431104","378666","437767","13.848087760717888","-1.5220425477480028","2768907","3372187","-17.889873841515907","-"
"1150617","11505","1474","弘裕","紡織纖維","231333","252109","220982","-8.24087993685271","4.684091916988714","1174472","1232594","-4.715421298497316","-"
"1150617","11505","1475","業旺","紡織纖維","125355","124974","118462","0.30486341158961067","5.818743563336766","598199","640426","-6.593579898380141","-"
"1150617","11505","1476","儒鴻","紡織纖維","3059191","3264019","3038307","-6.275331117864203","0.6873564784598791","15944280","15803841","0.8886384012595419","-"
"1150617","11505","1477","聚陽","紡織纖維","2708741","2605953","2488629","3.9443535627849005","8.844709275669455","14211683","14776725","-3.8238648956382417","-"
"1150617","11505","1503","士電","電機機械","3049512","3404404","2814376","-10.424497210084349","8.354818261667951","18012615","15677907","14.891707164738252","-"
"1150617","11505","1504","東元","電機機械","5685648","5626680","5142957","1.0480069952440871","10.55212011300114","25510806","23799149","7.192093297117473","-"
"1150617","11505","1506","正道","電機機械","105801","102671","97056","3.0485726251814045","9.010262116716122","498597","448951","11.058222389525806","-"
"1150617","11505","1512","瑞利","汽車工業","83531","76632","88808","9.002766468316109","-5.942032249346906","481415","465087","3.5107410011460223","-"
"1150617","11505","1513","中興電","電機機械","2392022","2307697","2308539","3.6540759033789967","3.6162698572560394","11190358","10936069","2.325232220096636","-"
